icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
a3db5e,DAL906  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-97.5267,37.7799,11041.38,False,253.13,105.56,0.0,10675.62,3113,4
ac22c5,AAL323  ,United States,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,-86.3238,35.723,2857.5,False,129.5,278.45,-4.88,2857.5,1177,4
acce3f,AAL2067 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-77.4897,37.3038,1554.48,False,126.4,71.49,-6.18,1584.96,3462,1
a51b93,RPA4660 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-84.5297,39.612,10500.36,False,236.7,28.85,0.33,10668.0,1006,4
a71efa,AAL1321 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-97.7452,33.4357,5798.82,False,206.45,120.72,-9.75,5524.5,3755,1
7103d8,SVA022  ,Saudi Arabia,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,1.6841,48.6997,11049.0,False,252.93,101.38,0.0,10668.0,2270,6
73806b,ELY364  ,Israel,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,31.27,35.5872,11750.04,False,236.13,141.46,0.0,11277.6,7110,1
440090,EJU83CR ,Austria,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-4.5578,42.0395,11658.6,False,210.96,247.19,0.33,11285.22,6734,1
adb723,JBU197  ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-73.683,44.426,10081.26,False,224.69,312.31,-0.33,10355.58,3413,4
7c6d8c,QFA507  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,151.1562,-33.7478,1249.68,False,134.03,192.86,-4.88,1135.38,1106,1
7c6d8f,QFA642  ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,118.157,-32.2298,9098.28,False,293.19,106.3,5.2,8976.36,4232,1
452051,BCS137  ,Bulgaria,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,9.3463,48.044,10134.6,False,216.9,6.4,-0.33,9753.6,1000,1
7c6d93,QFA417  ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,145.4424,-37.5644,3642.36,False,152.5,234.06,-6.5,3520.44,5033,1
7cc43d,R6568   ,Australia,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,150.7755,-30.8774,1043.94,False,59.78,164.53,-0.98,937.26,3000,2
adc8ee,DAL1322 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-84.0086,40.4248,9243.06,False,241.85,190.66,-0.33,9448.8,1040,1
ae1e73,RN021   ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-87.7038,30.7681,5067.3,False,115.46,266.42,-0.33,4861.56,3067,13
ae1e71,BB019   ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-87.2153,30.3482,541.02,False,123.59,164.05,21.78,525.78,3435,13
7c6d2f,VOZ1413 ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,149.2998,-30.39,11277.6,False,237.54,340.78,0.0,10965.18,1434,1
adfe90,PAT610  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-115.7346,34.1952,8290.56,False,139.9,203.17,0.0,7924.8,4372,13
ae1e7f,RN033   ,United States,1729029665.0,1729029665,2024-10-15 22:01:05+00:00,-88.5853,30.4091,5097.78,False,119.3,246.09,-0.98,4876.8,1517,13
896116,UAE182  ,United Arab Emirates,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,23.3453,40.3162,10523.22,False,276.86,135.83,0.0,10058.4,0106,1
ab8880,AAL842  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-80.2865,37.2393,10683.24,False,303.04,84.15,0.33,10668.0,7235,1
ad4c2a,AAL1100 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-93.8861,34.2011,9464.04,False,226.6,248.56,0.0,9144.0,1025,1
a16db9,AAL1978 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-78.3561,36.2783,8763.0,False,280.89,40.69,4.88,8702.04,2245,1
a67883,JBU1880 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-77.7399,35.8297,11437.62,False,244.23,8.11,0.98,11262.36,2153,4
896183,UAE96   ,United Arab Emirates,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,27.0344,35.4033,12382.5,False,266.25,123.41,0.0,11887.2,4317,6
7c5b4d,QLK87   ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,145.1564,-38.425,5943.6,False,134.67,151.48,0.33,5791.2,3646,3
400980,BAW5DW  ,United Kingdom,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-8.9908,39.0959,1882.14,False,117.81,195.19,-3.58,1859.28,2017,1
440181,EJU87RG ,Austria,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,8.6212,48.1999,11696.7,False,222.43,182.39,-0.33,11285.22,0761,1
a9fb4e,AAL821  ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-111.3529,33.1465,12092.94,False,217.86,284.5,-0.33,11582.4,5132,4
ae6204,KING92  ,United States,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,-84.9284,30.9228,7894.32,False,196.04,125.82,0.0,7620.0,1511,13
adfebe,R60108  ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-107.7176,37.858,12108.18,False,207.78,235.29,0.33,11582.4,2713,13
440189,BCS5GU  ,Austria,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,11.7707,51.4139,1676.4,False,114.95,102.67,-7.48,1546.86,1000,1
ace5bb,DAL2573 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-78.599,42.448,8305.8,False,244.47,283.01,0.0,8534.4,1660,1
ae2669,VVSA01  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-116.8678,32.6168,2080.26,False,64.13,103.92,-1.95,2019.3,1200,13
a6b4f7,JBU1566 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-89.4171,35.2171,10309.86,False,263.85,66.68,0.0,10066.02,2474,4
a3c9c5,AAL320  ,United States,1729029776.0,1729029954,2024-10-15 22:05:54+00:00,-77.6686,33.3451,11315.7,False,206.27,196.22,0.0,10972.8,5154,4
a11fc1,UAL448  ,United States,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,-104.2259,41.1522,11399.52,False,237.32,256.2,0.0,10972.8,6212,1
aa9e6d,SWA3062 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-96.3785,40.4105,8481.06,False,263.62,170.91,8.13,8267.7,2627,1
4007ee,BAW41C  ,United Kingdom,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-81.7299,34.5356,12451.08,False,254.28,161.97,0.0,12192.0,3705,1
a53f5b,RPA4449 ,United States,1729029962.0,1729029962,2024-10-15 22:06:02+00:00,-86.6301,39.5729,1653.54,False,112.81,223.52,-5.2,1615.44,2706,4
adc9b6,JBU2715 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-74.9279,41.4099,8343.9,False,216.34,290.46,4.23,8587.74,1107,4
ab1ffe,DAL941  ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-93.3436,45.0985,3246.12,False,151.53,155.96,-6.18,3162.3,1660,1
345698,ANE53KR ,Spain,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-1.8259,39.8414,6949.44,False,218.31,119.04,-0.33,6705.6,5104,4
7380c1,ELY002  ,Israel,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-72.8766,40.5939,4602.48,False,228.73,71.24,6.5,4732.02,2671,6
7380c3,ELY318  ,Israel,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-0.0849,51.437,2606.04,False,150.4,82.73,10.73,2545.08,2207,6
abac48,AAL2222 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-79.7824,37.8641,10005.06,False,296.48,86.12,-0.33,10058.4,2316,1
ad9ac9,JBU1189 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-87.795,41.1699,9570.72,False,241.27,270.12,0.33,9753.6,1515,4
484506,TRA86B  ,Kingdom of the Netherlands,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,10.7941,48.4456,11955.78,False,212.63,328.66,0.0,11582.4,1000,1
ae6d43,VV1E617 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-87.396,30.4958,746.76,False,57.8,175.41,-0.33,739.14,3455,13
a9acb8,DAL383  ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-73.5931,40.3856,952.5,False,124.23,50.38,-1.95,1021.08,4161,5
7c6ca4,NWK2900 ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,116.1856,-30.1621,9723.12,False,219.09,5.39,5.2,9486.9,6775,1
