Time of Departure,Departure Airport,Arrival Airport,Arrival Time
1673022570.0,EIDW,EDDF,1673028659
1673026200.0,EDNY,EDDF,1673028507
1673024526.0,EGLC,EDDF,1673028460
1673024982.0,LFPG,EDDF,1673028267
1673021002.0,EVRA,EDDF,1673028073
1672978260.0,RKSI,EDDF,1673027981
1673025106.0,EDDH,EDDF,1673027907
1673015014.0,,EDDF,1673027878
1673025180.0,EDDB,EDDF,1673027869
1673025275.0,EBBR,EDDF,1673027718
1673025377.0,EDDM,EDDF,1673027609
1673021948.0,EPWA,EDDF,1673027568
1673021221.0,LEBL,EDDF,1673027456
1673021132.0,ESSA,EDDF,1673027382
1673016187.0,,EDDF,1673027272
1673018805.0,LROP,EDDF,1673027183
1673023519.0,EGLL,EDDF,1673027084
1672996067.0,VIDP,EDDF,1673026789
1673024190.0,EHAM,EDDF,1673026565
1673017733.0,EFHK,EDDF,1673026403
1673023080.0,LIML,EDDF,1673026289
1673013353.0,,EDDF,1673026107
1673003560.0,OTHH,EDDF,1673025734
1673021576.0,LOWW,EDDF,1673025626
1673018103.0,LEMD,EDDF,1673025478
1673021485.0,EGLL,EDDF,1673025327
1673003447.0,OTHH,EDDF,1673025316
1673012934.0,,EDDF,1673025146
1673012800.0,,EDDF,1673024573
1672974333.0,RKSI,EDDF,1673024423
1673017445.0,,EDDF,1673023696
1672978142.0,,EDDF,1673023612
1673013901.0,,EDDF,1673023455
1673015854.0,LEMD,EDDF,1673023369
1672993612.0,VIDP,EDDF,1673023209
1672996131.0,KORD,EDDF,1673022926
1673017772.0,EGCC,EDDF,1673022834
1673010600.0,LTAC,EDDF,1673022804
1672998092.0,,EDDF,1673022530
1673019852.0,EDDP,EDDF,1673022068
1672990694.0,CYYC,EDDF,1673021962
1672971313.0,RJTT,EDDF,1673021806
1673016710.0,LHBP,EDDF,1673021690
1673012886.0,LPPT,EDDF,1673021685
1673014152.0,EYVI,EDDF,1673021637
1672996817.0,OMDW,EDDF,1673021471
1673016660.0,EGLC,EDDF,1673021188
1673018552.0,EHAM,EDDF,1673021142
1673016797.0,LFHC,EDDF,1673020791
1673013311.0,LEMD,EDDF,1673020763
,,EDDF,1673020587
1673018164.0,EDDM,EDDF,1673020467
1673009987.0,LTFM,EDDF,1673020314
1673011053.0,LPPT,EDDF,1673020269
1672995307.0,OMDW,EDDF,1673020246
1672977945.0,,EDDF,1673020134
1673017050.0,LFPG,EDDF,1673020064
1673008134.0,,EDDF,1673019955
1673012220.0,LBSF,EDDF,1673019655
1673008307.0,GMMN,EDDF,1673019496
1672969732.0,RJAA,EDDF,1673019355
1673012891.0,ESSA,EDDF,1673019335
1673014802.0,LDZL,EDDF,1673019265
1673012794.0,ENGM,EDDF,1673019139
1673013915.0,LHBP,EDDF,1673019053
1672989037.0,,EDDF,1673018929
1673014932.0,LIPZ,EDDF,1673018899
1673009134.0,LGAV,EDDF,1673018638
1673015830.0,LKPR,EDDF,1673018591
1673012974.0,,EDDF,1673018579
1673014384.0,EGBB,EDDF,1673018459
1673012918.0,EPWA,EDDF,1673018389
1673013253.0,,EDDF,1673018276
1673009466.0,LMML,EDDF,1673017949
1673013728.0,LIPE,EDDF,1673017888
